"AntennaAngle [deg]","Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
30,0.02,0,-154,0.103472126263919
30,0.02,0,-153,0.101523061670109
30,0.02,0,-152,0.100105828985884
30,0.02,0,-151,0.0991289451922062
30,0.02,0,-150,0.0984989997732977
30,0.02,0,-149,0.0981234777768066
30,0.02,0,-148,0.0979133483241262
30,0.02,0,-147,0.097785360973503
30,0.02,0,-146,0.0976640064049379
30,0.02,0,-145,0.0974831122158294
30,0.02,0,-144,0.0971870586403511
30,0.02,0,-143,0.0967316122498186
30,0.02,0,-142,0.0960843877511619
30,0.02,0,-141,0.0952249585594126
30,0.02,0,-140,0.0941446456527947
30,0.02,0,-139,0.0928460211913004
30,0.02,0,-138,0.0913421684432371
30,0.02,0,-137,0.0896557427487888
30,0.02,0,-136,0.0878178796522071
30,0.02,0,-135,0.0858669961072014
30,0.02,0,-134,0.0838475289981185
30,0.02,0,-133,0.0818086523464198
30,0.02,0,-132,0.0798030107281836
30,0.02,0,-131,0.0778855018591582
30,0.02,0,-130,0.076112136249204
30,0.02,0,-129,0.0745389965138237
30,0.02,0,-128,0.0732213135621692
30,0.02,0,-127,0.072212671638098
30,0.02,0,-126,0.071564349224346
30,0.02,0,-125,0.0713247982501578
30,0.02,0,-124,0.0715392599598545
30,0.02,0,-123,0.0722495122646207
30,0.02,0,-122,0.0734937404459947
30,0.02,0,-121,0.0753065207166342
30,0.02,0,-120,0.0777189043605589
30,0.02,0,-119,0.080758588942657
30,0.02,0,-118,0.0844501623537348
30,0.02,0,-117,0.088815405190771
30,0.02,0,-116,0.0938736371039283
30,0.02,0,-115,0.0996420932102961
30,0.02,0,-114,0.106136317416746
30,0.02,0,-113,0.11337056044955
30,0.02,0,-112,0.121358171498743
30,0.02,0,-111,0.130111973597674
30,0.02,0,-110,0.139644614125394
30,0.02,0,-109,0.149968883100559
30,0.02,0,-108,0.16109799319606
30,0.02,0,-107,0.173045816615893
30,0.02,0,-106,0.185827075118643
30,0.02,0,-105,0.199457480530127
30,0.02,0,-104,0.213953824051493
30,0.02,0,-103,0.229334013533636
30,0.02,0,-102,0.245617058653538
30,0.02,0,-101,0.262823004595977
30,0.02,0,-100,0.28097281542087
30,0.02,0,-99,0.300088208790043
30,0.02,0,-98,0.320191444147183
30,0.02,0,-97,0.341305066801309
30,0.02,0,-96,0.363451610668321
30,0.02,0,-95,0.386653262687794
30,0.02,0,-94,0.410931492163444
30,0.02,0,-93,0.43630664848551
30,0.02,0,-92,0.462797530889729
30,0.02,0,-91,0.490420934098328
30,0.02,0,-90,0.519191173879062
30,0.02,0,-89,0.549119596753035
30,0.02,0,-88,0.580214078283573
30,0.02,0,-87,0.612478514587589
30,0.02,0,-86,0.645912311927015
30,0.02,0,-85,0.680509879458696
30,0.02,0,-84,0.716260130442716
30,0.02,0,-83,0.753145997426375
30,0.02,0,-82,0.791143967127295
30,0.02,0,-81,0.830223640926941
30,0.02,0,-80,0.870347327046737
30,0.02,0,-79,0.911469670603601
30,0.02,0,-78,0.953537327820744
30,0.02,0,-77,0.996488690693099
30,0.02,0,-76,1.04025366836479
30,0.02,0,-75,1.08475353135967
30,0.02,0,-74,1.12990082460587
30,0.02,0,-73,1.17559935490411
30,0.02,0,-72,1.22174425809981
30,0.02,0,-71,1.26822215072653
30,0.02,0,-70,1.31491137028796
30,0.02,0,-69,1.36168230763742
30,0.02,0,-68,1.40839783409677
30,0.02,0,-67,1.45491382503395
30,0.02,0,-66,1.50107978059537
30,0.02,0,-65,1.54673954317349
30,0.02,0,-64,1.5917321099909
30,0.02,0,-63,1.63589253791347
30,0.02,0,-62,1.67905293628138
30,0.02,0,-61,1.72104354218506
30,0.02,0,-60,1.76169387123379
30,0.02,0,-59,1.80083393548833
30,0.02,0,-58,1.83829551887882
30,0.02,0,-57,1.8739134991296
30,0.02,0,-56,1.90752720398769
30,0.02,0,-55,1.9389817884277
30,0.02,0,-54,1.96812961850656
30,0.02,0,-53,1.9948316466925
30,0.02,0,-52,2.01895876281612
30,0.02,0,-51,2.04039310430953
30,0.02,0,-50,2.0590293091316
30,0.02,0,-49,2.07477569474014
30,0.02,0,-48,2.08755534667933
30,0.02,0,-47,2.09730710081344
30,0.02,0,-46,2.10398640396251
30,0.02,0,-45,2.10756603868533
30,0.02,0,-44,2.10803669920814
30,0.02,0,-43,2.10540740700825
30,0.02,0,-42,2.09970575632049
30,0.02,0,-41,2.09097798182542
