Phi[deg],Theta[deg],im(rEX)[mV]
-174,8,230.951
-172,8,229.932
-170,8,228.624
-168,8,227.029
-166,8,225.15
-164,8,222.99
-162,8,220.551
-160,8,217.838
-158,8,214.855
-156,8,211.607
-154,8,208.097
-152,8,204.332
-150,8,200.317
-148,8,196.058
-146,8,191.561
-144,8,186.833
-142,8,181.88
-140,8,176.709
-138,8,171.328
-136,8,165.743
-134,8,159.963
-132,8,153.995
-130,8,147.848
-128,8,141.528
-126,8,135.045
-124,8,128.407
-122,8,121.621
-120,8,114.698
-118,8,107.644
-116,8,100.468
-114,8,93.1801
-112,8,85.7877
-110,8,78.2997
-108,8,70.7247
-106,8,63.0715
-104,8,55.3488
-102,8,47.5652
-100,8,39.7295
-98,8,31.8503
-96,8,23.9363
-94,8,15.9961
-92,8,8.03863
-90,8,0.0723704
-88,8,-7.89394
-86,8,-15.8516
-84,8,-23.792
-82,8,-31.7064
-80,8,-39.5861
-78,8,-47.4224
-76,8,-55.2066
-74,8,-62.9301
-72,8,-70.5842
-70,8,-78.1601
-68,8,-85.6491
-66,8,-93.0427
-64,8,-100.332
-62,8,-107.509
-60,8,-114.564
-58,8,-121.489
-56,8,-128.276
-54,8,-134.916
-52,8,-141.4
-50,8,-147.721
-48,8,-153.87
-46,8,-159.84
-44,8,-165.621
-42,8,-171.207
-40,8,-176.59
-38,8,-181.763
-36,8,-186.717
-34,8,-191.447
-32,8,-195.946
-30,8,-200.206
-28,8,-204.222
-26,8,-207.989
-24,8,-211.499
-22,8,-214.749
-20,8,-217.733
-18,8,-220.447
-16,8,-222.886
-14,8,-225.048
-12,8,-226.928
-10,8,-228.523
-8,8,-229.832
-6,8,-230.851
-4,8,-231.581
-2,8,-232.018
0,8,-232.163
2,8,-232.016
4,8,-231.577
6,8,-230.846
8,8,-229.824
10,8,-228.514
12,8,-226.916
14,8,-225.035
16,8,-222.872
18,8,-220.431
20,8,-217.716
22,8,-214.73
24,8,-211.479
26,8,-207.967
28,8,-204.2
30,8,-200.183
32,8,-195.921
34,8,-191.422
36,8,-186.692
38,8,-181.737
40,8,-176.564
42,8,-171.181
44,8,-165.595
46,8,-159.813
48,8,-153.844
50,8,-147.695
52,8,-141.375
54,8,-134.891
56,8,-128.252
58,8,-121.466
60,8,-114.542
62,8,-107.488
64,8,-100.313
66,8,-93.0246
68,8,-85.6326
70,8,-78.1452
72,8,-70.571
74,8,-62.9187
76,8,-55.1971
78,8,-47.4147
80,8,-39.5804
82,8,-31.7027
84,8,-23.7903
86,8,-15.852
88,8,-7.89644
90,8,0.0677832
92,8,8.03196
94,8,15.9874
96,8,23.9255
98,8,31.8375
100,8,39.7147
102,8,47.5486
104,8,55.3303
106,8,63.0513
108,8,70.7028
110,8,78.2761
112,8,85.7627
114,8,93.1537
116,8,100.441
118,8,107.615
120,8,114.668
122,8,121.591
124,8,128.375
126,8,135.013
128,8,141.496
130,8,147.815
132,8,153.962
134,8,159.93
136,8,165.71
138,8,171.295
140,8,176.677
142,8,181.848
144,8,186.802
146,8,191.531
148,8,196.029
150,8,200.289
152,8,204.305
154,8,208.072
156,8,211.583
158,8,214.833
160,8,217.818
162,8,220.532
164,8,222.972
166,8,225.135
168,8,227.016
170,8,228.613
172,8,229.923
174,8,230.944
176,8,231.675
178,8,232.115
180,8,232.262
-180,10,285.593
-178,10,285.411
-176,10,284.864
-174,10,283.952
-172,10,282.676
-170,10,281.039
-168,10,279.044
-166,10,276.694
-164,10,273.993
-162,10,270.946
-160,10,267.558
-158,10,263.834
-156,10,259.782
-154,10,255.407
-152,10,250.717
-150,10,245.719
-148,10,240.421
-146,10,234.832
-144,10,228.961
-142,10,222.817
-140,10,216.408
-138,10,209.744
-136,10,202.836
-134,10,195.693
-132,10,188.325
-130,10,180.742
-128,10,172.956
-126,10,164.975
-124,10,156.812
-122,10,148.476
-120,10,139.977
-118,10,131.327
-116,10,122.536
-114,10,113.613
-112,10,104.571
-110,10,95.4184
-108,10,86.166
-106,10,76.8241
-104,10,67.4027
-102,10,57.9121
-100,10,48.3621
-98,10,38.7628
-96,10,29.124
-94,10,19.4557
-92,10,9.76773
-90,10,0.0698262
