Phi[deg],Theta[deg],re(rEX)[mV]
-58,10,77.4999
-56,10,79.9409
-54,10,81.9908
-52,10,83.6396
-50,10,84.8791
-48,10,85.7032
-46,10,86.1078
-44,10,86.0909
-42,10,85.6525
-40,10,84.7947
-38,10,83.5214
-36,10,81.839
-34,10,79.7555
-32,10,77.2811
-30,10,74.4276
-28,10,71.209
-26,10,67.641
-24,10,63.7408
-22,10,59.5274
-20,10,55.0213
-18,10,50.2444
-16,10,45.22
-14,10,39.9726
-12,10,34.5276
-10,10,28.9117
-8,10,23.152
-6,10,17.2768
-4,10,11.3146
-2,10,5.29444
0,10,-0.754321
2,10,-6.80221
4,10,-12.8197
6,10,-18.7776
8,10,-24.6468
10,10,-30.3986
12,10,-36.005
14,10,-41.4388
16,10,-46.6733
18,10,-51.6831
20,10,-56.4437
22,10,-60.9319
24,10,-65.1258
26,10,-69.005
28,10,-72.5504
30,10,-75.7448
32,10,-78.5726
34,10,-81.0199
36,10,-83.0748
38,10,-84.7272
40,10,-85.969
42,10,-86.7942
44,10,-87.1986
46,10,-87.1803
48,10,-86.7392
50,10,-85.8775
52,10,-84.5993
54,10,-82.9108
56,10,-80.82
58,10,-78.3373
60,10,-75.4745
62,10,-72.2455
64,10,-68.6661
66,10,-64.7535
68,10,-60.5268
70,10,-56.0065
72,10,-51.2145
74,10,-46.174
76,10,-40.9095
78,10,-35.4467
80,10,-29.8119
82,10,-24.0326
84,10,-18.1368
86,10,-12.1532
88,10,-6.11068
90,10,-0.0387289
92,10,6.03323
94,10,12.0757
96,10,18.0594
98,10,23.9552
100,10,29.7345
102,10,35.3693
104,10,40.8322
106,10,46.0967
108,10,51.1372
110,10,55.9293
112,10,60.4497
114,10,64.6764
116,10,68.589
118,10,72.1685
120,10,75.3975
122,10,78.2603
124,10,80.7432
126,10,82.8339
128,10,84.5225
130,10,85.8008
132,10,86.6626
134,10,87.1037
136,10,87.1221
138,10,86.7177
140,10,85.8925
142,10,84.6507
144,10,82.9983
146,10,80.9434
148,10,78.4961
150,10,75.6683
152,10,72.4739
154,10,68.9285
156,10,65.0493
158,10,60.8554
160,10,56.3671
162,10,51.6064
164,10,46.5966
166,10,41.362
168,10,35.9282
170,10,30.3216
172,10,24.5697
174,10,18.7004
176,10,12.7424
178,10,6.72478
180,10,0.676752
-180,12,0.814231
-178,12,-7.81427
-176,12,-16.4018
-174,12,-24.9064
-172,12,-33.2868
-170,12,-41.5021
-168,12,-49.5122
-166,12,-57.2782
-164,12,-64.7621
-162,12,-71.9277
-160,12,-78.74
-158,12,-85.1658
-156,12,-91.1738
-154,12,-96.7349
-152,12,-101.822
-150,12,-106.41
-148,12,-110.477
-146,12,-114.004
-144,12,-116.972
-142,12,-119.369
-140,12,-121.181
-138,12,-122.4
-136,12,-123.022
-134,12,-123.041
-132,12,-122.459
-130,12,-121.279
-128,12,-119.506
-126,12,-117.15
-124,12,-114.22
-122,12,-110.733
-120,12,-106.706
-118,12,-102.157
-116,12,-97.1091
-114,12,-91.5872
-112,12,-85.6183
-110,12,-79.2315
-108,12,-72.458
-106,12,-65.3309
-104,12,-57.885
-102,12,-50.1567
-100,12,-42.1837
-98,12,-34.0051
-96,12,-25.6606
-94,12,-17.191
-92,12,-8.6378
-90,12,-0.0425866
-88,12,8.55263
-86,12,17.1059
-84,12,25.5755
-82,12,33.92
-80,12,42.0988
-78,12,50.0718
-76,12,57.8002
-74,12,65.2462
-72,12,72.3734
-70,12,79.1471
-68,12,85.5341
-66,12,91.5031
-64,12,97.0251
-62,12,102.073
-60,12,106.622
-58,12,110.65
-56,12,114.137
-54,12,117.067
-52,12,119.424
-50,12,121.197
-48,12,122.377
-46,12,122.959
-44,12,122.94
-42,12,122.319
-40,12,121.1
-38,12,119.288
-36,12,116.892
-34,12,113.924
-32,12,110.398
-30,12,106.331
-28,12,101.743
-26,12,96.6558
-24,12,91.095
-22,12,85.0873
-20,12,78.6618
-18,12,71.8498
-16,12,64.6845
-14,12,57.2007
-12,12,49.435
-10,12,41.4251
-8,12,33.2101
-6,12,24.8299
-4,12,16.3255
-2,12,7.73816
0,12,-0.890167
2,12,-9.51745
4,12,-18.1017
6,12,-26.6009
8,12,-34.9738
10,12,-43.1796
12,12,-51.1781
14,12,-58.9304
16,12,-66.3988
18,12,-73.5467
20,12,-80.3393
22,12,-86.7436
24,12,-92.7281
26,12,-98.2638
28,12,-103.324
30,12,-107.883
32,12,-111.919
34,12,-115.413
36,12,-118.347
38,12,-120.707
40,12,-122.482
42,12,-123.662
44,12,-124.243
46,12,-124.22
48,12,-123.595
50,12,-122.369
52,12,-120.55
54,12,-118.146
56,12,-115.168
58,12,-111.631
60,12,-107.552
62,12,-102.951
64,12,-97.8506
66,12,-92.2749
68,12,-86.2513
70,12,-79.809
72,12,-72.9793
74,12,-65.7953
76,12,-58.2921
78,12,-50.5059
80,12,-42.4747
82,12,-34.2374
84,12,-25.834
86,12,-17.3054
88,12,-8.69286
90,12,-0.0383207
92,12,8.61622
94,12,17.2287
96,12,25.7574
98,12,34.1608
100,12,42.3982
102,12,50.4295
104,12,58.2157
106,12,65.719
108,12,72.903
110,12,79.7327
112,12,86.1751
114,12,92.1988
116,12,97.7746
118,12,102.875
120,12,107.476
122,12,111.555
124,12,115.092
126,12,118.07
128,12,120.475
130,12,122.294
132,12,123.519
134,12,124.145
136,12,124.168
138,12,123.587
140,12,122.407
142,12,120.632
144,12,118.272
146,12,115.338
148,12,111.844
150,12,107.808
152,12,103.249
154,12,98.189
156,12,92.6533
158,12,86.6688
160,12,80.2645
162,12,73.4718
