Phi[deg],Theta[deg],im(rEY)[mV]
-128,8,308.298
-126,8,316.438
-124,8,324.191
-122,8,331.549
-120,8,338.504
-118,8,345.047
-116,8,351.171
-114,8,356.87
-112,8,362.136
-110,8,366.964
-108,8,371.348
-106,8,375.284
-104,8,378.768
-102,8,381.795
-100,8,384.361
-98,8,386.465
-96,8,388.105
-94,8,389.277
-92,8,389.981
-90,8,390.216
-88,8,389.982
-86,8,389.28
-84,8,388.109
-82,8,386.471
-80,8,384.368
-78,8,381.803
-76,8,378.777
-74,8,375.295
-72,8,371.36
-70,8,366.977
-68,8,362.15
-66,8,356.885
-64,8,351.187
-62,8,345.064
-60,8,338.521
-58,8,331.567
-56,8,324.21
-54,8,316.457
-52,8,308.317
-50,8,299.801
-48,8,290.918
-46,8,281.678
-44,8,272.092
-42,8,262.171
-40,8,251.928
-38,8,241.374
-36,8,230.523
-34,8,219.386
-32,8,207.978
-30,8,196.313
-28,8,184.404
-26,8,172.266
-24,8,159.914
-22,8,147.364
-20,8,134.63
-18,8,121.729
-16,8,108.676
-14,8,95.488
-12,8,82.1813
-10,8,68.7726
-8,8,55.2785
-6,8,41.716
-4,8,28.1022
-2,8,14.4541
0,8,0.788869
2,8,-12.8763
4,8,-26.5242
6,8,-40.1377
8,8,-53.6997
10,8,-67.1932
12,8,-80.6012
14,8,-93.9071
16,8,-107.094
18,8,-120.146
20,8,-133.046
22,8,-145.778
24,8,-158.327
26,8,-170.678
28,8,-182.814
30,8,-194.721
32,8,-206.385
34,8,-217.792
36,8,-228.926
38,8,-239.776
40,8,-250.328
42,8,-260.569
44,8,-270.488
46,8,-280.072
48,8,-289.31
50,8,-298.191
52,8,-306.706
54,8,-314.843
56,8,-322.594
58,8,-329.95
60,8,-336.903
62,8,-343.443
64,8,-349.565
66,8,-355.261
68,8,-360.525
70,8,-365.351
72,8,-369.733
74,8,-373.667
76,8,-377.148
78,8,-380.172
80,8,-382.737
82,8,-384.839
84,8,-386.476
86,8,-387.647
88,8,-388.349
90,8,-388.583
92,8,-388.348
94,8,-387.644
96,8,-386.472
98,8,-384.833
100,8,-382.729
102,8,-380.163
104,8,-377.137
106,8,-373.654
108,8,-369.719
110,8,-365.336
112,8,-360.509
114,8,-355.244
116,8,-349.547
118,8,-343.424
120,8,-336.883
122,8,-329.929
124,8,-322.573
126,8,-314.821
128,8,-306.683
130,8,-298.168
132,8,-289.286
134,8,-280.048
136,8,-270.464
138,8,-260.546
140,8,-250.305
142,8,-239.753
144,8,-228.903
146,8,-217.769
148,8,-206.363
150,8,-194.7
152,8,-182.794
154,8,-170.658
156,8,-158.309
