Phi[deg],Theta[deg],im(rEX)[mV]
10,6,-689.461
12,6,-689.077
14,6,-688.44
16,6,-687.546
18,6,-686.393
20,6,-684.977
22,6,-683.296
24,6,-681.346
26,6,-679.126
28,6,-676.633
30,6,-673.867
32,6,-670.826
34,6,-667.509
36,6,-663.916
38,6,-660.047
40,6,-655.904
42,6,-651.488
44,6,-646.799
46,6,-641.842
48,6,-636.617
50,6,-631.13
52,6,-625.383
54,6,-619.383
56,6,-613.132
58,6,-606.638
60,6,-599.908
62,6,-592.946
64,6,-585.763
66,6,-578.364
68,6,-570.76
70,6,-562.96
72,6,-554.972
74,6,-546.809
76,6,-538.48
78,6,-529.997
80,6,-521.372
82,6,-512.617
84,6,-503.745
86,6,-494.77
88,6,-485.705
90,6,-476.563
92,6,-467.361
94,6,-458.111
96,6,-448.829
98,6,-439.53
100,6,-430.229
102,6,-420.942
104,6,-411.684
106,6,-402.472
108,6,-393.32
110,6,-384.244
112,6,-375.261
114,6,-366.386
116,6,-357.633
118,6,-349.02
120,6,-340.559
122,6,-332.268
124,6,-324.159
126,6,-316.247
128,6,-308.547
130,6,-301.071
132,6,-293.832
134,6,-286.844
136,6,-280.117
138,6,-273.664
140,6,-267.496
142,6,-261.623
144,6,-256.054
146,6,-250.799
148,6,-245.865
150,6,-241.262
152,6,-236.995
154,6,-233.07
156,6,-229.494
158,6,-226.271
160,6,-223.406
162,6,-220.9
164,6,-218.757
166,6,-216.979
168,6,-215.565
170,6,-214.517
172,6,-213.834
174,6,-213.515
176,6,-213.557
178,6,-213.957
180,6,-214.713
-180,8,-115.435
-178,8,-117.319
-176,8,-119.685
-174,8,-122.524
-172,8,-125.824
-170,8,-129.576
-168,8,-133.766
-166,8,-138.382
-164,8,-143.41
-162,8,-148.836
-160,8,-154.645
-158,8,-160.822
-156,8,-167.349
-154,8,-174.212
-152,8,-181.393
-150,8,-188.875
-148,8,-196.641
-146,8,-204.672
-144,8,-212.953
-142,8,-221.464
-140,8,-230.188
-138,8,-239.107
-136,8,-248.204
-134,8,-257.462
-132,8,-266.863
-130,8,-276.39
-128,8,-286.027
-126,8,-295.757
-124,8,-305.566
-122,8,-315.437
-120,8,-325.355
-118,8,-335.307
-116,8,-345.279
-114,8,-355.257
-112,8,-365.229
-110,8,-375.183
-108,8,-385.107
-106,8,-394.992
-104,8,-404.825
-102,8,-414.6
-100,8,-424.305
-98,8,-433.934
-96,8,-443.479
-94,8,-452.933
-92,8,-462.289
-90,8,-471.542
-88,8,-480.686
-86,8,-489.717
-84,8,-498.631
-82,8,-507.424
-80,8,-516.092
-78,8,-524.633
-76,8,-533.045
-74,8,-541.324
-72,8,-549.469
-70,8,-557.479
-68,8,-565.352
-66,8,-573.087
-64,8,-580.683
-62,8,-588.138
-60,8,-595.452
-58,8,-602.624
-56,8,-609.652
-54,8,-616.536
-52,8,-623.275
-50,8,-629.868
-48,8,-636.313
-46,8,-642.608
-44,8,-648.752
-42,8,-654.743
-40,8,-660.578
-38,8,-666.255
-36,8,-671.772
-34,8,-677.125
-32,8,-682.31
-30,8,-687.325
-28,8,-692.164
-26,8,-696.824
-24,8,-701.299
-22,8,-705.584
-20,8,-709.675
-18,8,-713.565
-16,8,-717.247
-14,8,-720.716
-12,8,-723.966
-10,8,-726.988
-8,8,-729.776
-6,8,-732.322
-4,8,-734.62
-2,8,-736.66
0,8,-738.435
2,8,-739.938
4,8,-741.16
6,8,-742.093
8,8,-742.73
10,8,-743.062
12,8,-743.081
14,8,-742.781
16,8,-742.153
18,8,-741.19
20,8,-739.886
22,8,-738.235
24,8,-736.229
26,8,-733.864
28,8,-731.134
30,8,-728.035
32,8,-724.562
34,8,-720.713
36,8,-716.484
38,8,-711.873
40,8,-706.88
42,8,-701.503
44,8,-695.743
46,8,-689.601
48,8,-683.078
50,8,-676.179
52,8,-668.906
54,8,-661.264
56,8,-653.259
